province_name,province_id,owner_name_1763,owner_tag_1763,historical_justification_1763_with_source,current_owner_tag,status,confidence
Pirttikaarre,1,,,,,UNOWNED,
Turkana,2,,,,,UNOWNED,
Bampur,3,,,,BLO,OWNED,
Fuerte de los Sunchales,4,,,,LFP,OWNED,
Eslamshahr,5,,,,,UNOWNED,
Sedam,6,,,,HYD,OWNED,
Ereymentau,7,,,,,UNOWNED,
Remda,8,,,,RUS,OWNED,
Grodno,9,,,,LIT,OWNED,
Idre,10,,,,SWE,OWNED,
Almetievsk,11,,,,RUS,OWNED,
Dombås,12,,,,NOR,OWNED,
Careyes,13,,,,NSP,OWNED,
Strajny Kut,14,,,,RUS,OWNED,
Elwa,15,,,,LIV,OWNED,
Mantua,16,,,,LBV,OWNED,
Hohenmauth,17,,,,AUS,OWNED,
Augustów,18,,,,POL,OWNED,
Chieri,19,,,,SAR,OWNED,
Neuhaus,20,,,,AUS,OWNED,
Al Marj,21,,,,TRI,OWNED,
Nurlat,22,,,,RUS,OWNED,
Arseniev,23,,,,MNC,OWNED,
Uvatsky,24,,,,RUS,OWNED,
Myitkyina,25,,,,LSU,OWNED,
Chilgir,26,,,,RUS,OWNED,
Saratov,27,,,,RUS,OWNED,
Huicheon,28,,,,KOR,OWNED,
Brescia,29,,,,VEN,OWNED,
Akyab,30,,,,BUR,OWNED,
San Cristobal,31,,,,GUA,OWNED,
Kaghaznagar,32,,,,HYD,OWNED,
Valgrisanche,33,,,,SAR,OWNED,
Lumu,34,,,,,UNOWNED,
Khoms,35,,,,TRI,OWNED,
Anahim Lake,36,,,,,UNOWNED,
Shobara,37,,,,ASN,OWNED,
Ussuriisk,38,,,,MNC,OWNED,
Ziqiang,39,,,,HLJ,OWNED,
Shwegyin,40,,,,BUR,OWNED,
Poti,41,,,,MGL,OWNED,
Svetlogorsk,42,,,,RUS,OWNED,
Qiqihar,43,,,,HLJ,OWNED,
Rumbek,44,,,,,UNOWNED,
Puri,45,,,,EIC,OWNED,
Thayne,46,,,,,UNOWNED,
Santo Domingo,47,,,,NSP,OWNED,
Port Pirie,48,,,,,UNOWNED,
Rampurhat,49,,,,BNG,OWNED,
Wau,50,,,,,UNOWNED,
Daba Mountains,51,,,,,UNOWNED,
Tahtoyamsk,52,,,,RUS,OWNED,
Masudo,53,,,,IWM,OWNED,
the Outback,54,,,,,UNOWNED,
Congolese Jungle,55,,,,,UNOWNED,
Vorogovo,56,,,,RUS,OWNED,
Maiduguri,57,,,,KBO,OWNED,
Buchivacoa,58,,,,CPV,OWNED,
Salt Lake City,59,,,,,UNOWNED,
Port Lincoln,60,,,,,UNOWNED,
Latehar,61,,,,RMH,OWNED,
Dabou,62,,,,BAU,OWNED,
Chimbote,63,,,,,UNOWNED,
Lar,64,,,,,UNOWNED,
Sokol,65,,,,RUS,OWNED,
La Guajira,66,,,,SFB,OWNED,
Niamey,67,,,,DND,OWNED,
Dessau,68,,,,ANH,OWNED,
North Ayrshire,69,,,,GBR,OWNED,
Heligoland,70,,,,GBR,OWNED,
Czap,71,,,,HUN,OWNED,
Maryna Horka,72,,,,LIT,OWNED,
Sidama,73,,,,SDM,OWNED,
Prag,74,,,,AUS,OWNED,
Minsk,75,,,,LIT,OWNED,
Dalhart,76,,,,CMC,OWNED,
Niuksenitsa,77,,,,RUS,OWNED,
Krasnoarmisk,78,,,,RUS,OWNED,
Halle,79,,,,PRU,OWNED,
Ronda,80,,,,SPA,OWNED,
Dimitrovskyi,81,,,,RUS,OWNED,
Kintyre,82,,,,GBR,OWNED,
Die,83,,,,FRA,OWNED,
Jumilla,84,,,,SPA,OWNED,
Thann,85,,,,FRA,OWNED,
Biklyansk,86,,,,RUS,OWNED,
Luditz,87,,,,AUS,OWNED,
Abu Nujaym,88,,,,,UNOWNED,
Huntington,89,,,,USA,OWNED,
Djizaks,90,,,,BUK,OWNED,
Slavyanka,91,,,,MNC,OWNED,
Stowbsky,92,,,,LIT,OWNED,
Mawlamyaing,93,,,,BUR,OWNED,
Ecija,94,,,,SPA,OWNED,
Chirovo,95,,,,RUS,OWNED,
Holin Gol,96,,,,CHI,OWNED,
Pyapon,97,,,,BUR,OWNED,
Bandar-e Anzali,98,,,,,UNOWNED,
Hellin,99,,,,SPA,OWNED,
Kracheh,100,,,,CBI,OWNED,
Verkhnie,101,,,,RUS,OWNED,
Nok Kundi,102,,,,KRN,OWNED,
Zoige,103,,,,CHI,OWNED,
Ghandis,104,,,,TRI,OWNED,
Novobirilussi,105,,,,RUS,OWNED,
Gijduvon,106,,,,BUK,OWNED,
Haishenwai,107,,,,MNC,OWNED,
El Jufra,108,,,,TRI,OWNED,
Poleove,109,,,,RUS,OWNED,
Kokand,110,,,,KOK,OWNED,
Taleh,111,,,,,UNOWNED,
Bortala,112,,,,ILI,OWNED,
Beifuyun,113,,,,ILI,OWNED,
Veraguas,114,,,,SFB,OWNED,
Dunedin,115,,,,,UNOWNED,
Zahedan,116,,,,BLO,OWNED,
Ziliujing,117,,,,CHI,OWNED,
Te_Anau,118,,,,,UNOWNED,
Sahara Desert,119,,,,,UNOWNED,
Hargeisa,120,,,,ISQ,OWNED,
Karamay,121,,,,ILI,OWNED,
Pasvalys,122,,,,RUS,OWNED,
Eutin,123,,,,HOL,OWNED,
Poim,124,,,,RUS,OWNED,
Rauma,125,,,,FIN,OWNED,
Chachersk,126,,,,LIT,OWNED,
Forssa,127,,,,FIN,OWNED,
Cebrayil,128,,,,KBH,OWNED,
Kursenai,129,,,,RUS,OWNED,
Montauban,130,,,,FRA,OWNED,
Vsykovsk,131,,,,RUS,OWNED,
Clanwilliam,132,,,,CPC,OWNED,
Neusohl,133,,,,HUN,OWNED,
Bariadi,134,,,,,UNOWNED,
Pau,135,,,,FRA,OWNED,
Neutra,136,,,,HUN,OWNED,
Chun'an,137,,,,CHI,OWNED,
Krasnapolle,138,,,,LIT,OWNED,
Parsons,139,,,,USA,OWNED,
Liman,140,,,,RUS,OWNED,
Chumphon,141,,,,SIA,OWNED,
Mu Us Desert,142,,,,,UNOWNED,
