# MANIFEST -- vegetables reseed (task #5), generated by tools/reseed_vegetables.py
# Columns: province_id | name | region | zone | old_good -> vegetables

5013 | Paris | Northern_France | atlantic_seaboard | grain -> vegetables
1503 | Valladolid | Leon-Castille | atlantic_seaboard | grain -> vegetables
9083 | Rennes | Atlantic_France | atlantic_seaboard | livestock -> vegetables
6497 | Aranjuez | La_Mancha | atlantic_seaboard | grain -> vegetables
85 | Thann | Grand_Est | atlantic_seaboard | grain -> vegetables
505 | Newry | Ireland | atlantic_seaboard | grain -> vegetables
7965 | Coimbra | Portugal | atlantic_seaboard | livestock -> vegetables
3116 | West Lothian | Scotland | atlantic_seaboard | livestock -> vegetables
5519 | Essex | Southern_England | atlantic_seaboard | grain -> vegetables
4966 | Leeds | Northern_England | atlantic_seaboard | livestock -> vegetables
9393 | Worcester | Wales_Mercia | atlantic_seaboard | livestock -> vegetables
4394 | Versailles | Northern_France | atlantic_seaboard | grain -> vegetables
2796 | Salamanca | Leon-Castille | atlantic_seaboard | grain -> vegetables
4117 | Bellac | Atlantic_France | atlantic_seaboard | livestock -> vegetables
622 | Talavera | La_Mancha | atlantic_seaboard | grain -> vegetables
3301 | Strasbourg | Grand_Est | atlantic_seaboard | grain -> vegetables
1033 | Kilkenny | Ireland | atlantic_seaboard | grain -> vegetables
2674 | Chaves | Portugal | atlantic_seaboard | livestock -> vegetables
1499 | Isle of Man | Scotland | atlantic_seaboard | livestock -> vegetables
478 | Norwich | Southern_England | atlantic_seaboard | grain -> vegetables
9632 | Melun | Northern_France | atlantic_seaboard | grain -> vegetables
3351 | Burgos | Leon-Castille | atlantic_seaboard | grain -> vegetables
4752 | Cognac | Atlantic_France | atlantic_seaboard | grain -> vegetables
4885 | Guadalajara | La_Mancha | atlantic_seaboard | grain -> vegetables
3944 | Lure | Grand_Est | atlantic_seaboard | livestock -> vegetables
1038 | Western Tipperary | Ireland | atlantic_seaboard | grain -> vegetables
4680 | Meda | Portugal | atlantic_seaboard | grain -> vegetables
1714 | Vervins | Northern_France | atlantic_seaboard | grain -> vegetables
8175 | Santiago | Leon-Castille | atlantic_seaboard | livestock -> vegetables
4846 | La Rochelle | Atlantic_France | atlantic_seaboard | grain -> vegetables
8530 | Albuquerque | American_Southwest | caribbean | grain -> vegetables
371 | Ogallala | Great_Plains | caribbean | livestock -> vegetables
3082 | Charleston | Deep_South | caribbean | grain -> vegetables
1472 | Aldama | Northern_Mexico | caribbean | livestock -> vegetables
5952 | Maracaibo | Venezuela | caribbean | grain -> vegetables
2749 | Las Cruzes | American_Southwest | caribbean | livestock -> vegetables
377 | Luverne | Great_Plains | caribbean | livestock -> vegetables
1154 | Conway | Deep_South | caribbean | grain -> vegetables
6109 | Tamaulipas | Northern_Mexico | caribbean | livestock -> vegetables
4864 | Santa Catalina | Venezuela | caribbean | livestock -> vegetables
7714 | San Antonio | American_Southwest | caribbean | livestock -> vegetables
390 | Sioux Falls | Great_Plains | caribbean | livestock -> vegetables
2672 | Georgetown | Deep_South | caribbean | grain -> vegetables
4470 | Matamoros | Northern_Mexico | caribbean | livestock -> vegetables
5289 | San Carlos | Venezuela | caribbean | livestock -> vegetables
5253 | Puerto Isabel | American_Southwest | caribbean | livestock -> vegetables
868 | Grand Island | Great_Plains | caribbean | livestock -> vegetables
3400 | Savannah | Deep_South | caribbean | grain -> vegetables
6762 | Mante | Northern_Mexico | caribbean | livestock -> vegetables
5489 | Bayard | American_Southwest | caribbean | livestock -> vegetables
1010 | Presho | Great_Plains | caribbean | livestock -> vegetables
5204 | Beaufort | Deep_South | caribbean | grain -> vegetables
8609 | Fresnillo | Northern_Mexico | caribbean | livestock -> vegetables
