province_id,province_name,owner_tag,province_rank,culture,religion,trade_goods,total_pops,assessment_note
1,Pirttikaarre,,settlement,,,,0,
2,Turkana,,settlement,,,,0,
3,Bampur,BLO,settlement,baloch,sunni,livestock,2,
4,Fuerte de los Sunchales,LFP,settlement,guarani,pagelanca,livestock,2,
5,Eslamshahr,,settlement,persian,shiite,grain,13,
6,Sedam,HYD,settlement,kannada,hindu,grain,60,
7,Ereymentau,,settlement,sibir,sunni,gold,1,
8,Remda,RUS,settlement,russian,orthodox,grain,5,
9,Grodno,LIT,city,polish,catholic,livestock,14,
10,Idre,SWE,settlement,swedish,reformed,wood,1,
11,Almetievsk,RUS,settlement,tatar,sunni,wood,2,
12,Dombås,NOR,settlement,norwegian,lutheran,wood,0,owned but 0 pops (frontier/empty — normal)
13,Careyes,NSP,settlement,mexican,catholic,wood,6,
14,Strajny Kut,RUS,settlement,eastern_german,orthodox,vegetables,1,
15,Elwa,LIV,settlement,estonian,lutheran,grain,2,
16,Mantua,LBV,settlement,north_italian,catholic,temperate_fruit,25,
17,Hohenmauth,AUS,settlement,czech,catholic,tin,30,
18,Augustów,POL,city,polish,catholic,wood,14,
19,Chieri,SAR,settlement,north_italian,catholic,temperate_fruit,25,
20,Neuhaus,AUS,settlement,czech,catholic,livestock,30,
21,Al Marj,TRI,settlement,libyan,sunni,fish,6,
22,Nurlat,RUS,settlement,chuvash,sunni,wood,1,
23,Arseniev,MNC,settlement,manchu,siberian_shamanism,wood,2,
24,Uvatsky,RUS,settlement,khakas,sunni,wood,1,
25,Myitkyina,LSU,settlement,kachin,theravada,sugar,0,owned but 0 pops (frontier/empty — normal)
26,Chilgir,RUS,settlement,kazakh,sunni,livestock,2,
27,Saratov,RUS,city,russian,orthodox,industrial_fibres,21,
28,Huicheon,KOR,settlement,korean,daoism,grain,33,
29,Brescia,VEN,settlement,north_italian,catholic,silk,43,
30,Akyab,BUR,settlement,burmese,theravada,grain,44,
31,San Cristobal,GUA,settlement,tzeltal,catholic,grain,5,
32,Kaghaznagar,HYD,settlement,telugu,hindu,textile_fibres,85,
33,Valgrisanche,SAR,settlement,savoyard,catholic,gold,6,
34,Lumu,,settlement,melanesian,mana,hardwood,1,
35,Khoms,TRI,settlement,libyan,sunni,stone,13,
36,Anahim Lake,,settlement,tutchone,waashat,wood,1,
37,Shobara,ASN,settlement,japanese,shinto,livestock,38,
38,Ussuriisk,MNC,settlement,manchu,siberian_shamanism,wood,2,
39,Ziqiang,HLJ,settlement,manchu,siberian_shamanism,wood,7,
40,Shwegyin,BUR,settlement,burmese,theravada,hardwood,46,
41,Poti,MGL,settlement,georgian,orthodox,temperate_fruit,13,
42,Svetlogorsk,RUS,settlement,dolgan,tengri,wood,0,owned but 0 pops (frontier/empty — normal)
43,Qiqihar,HLJ,settlement,manchu,siberian_shamanism,wood,8,
44,Rumbek,,settlement,shilluk,kenyan,livestock,11,
45,Puri,EIC,city,oriya,hindu,grain,130,
46,Thayne,,settlement,shoshone,waashat,livestock,0,
47,Santo Domingo,NSP,city,latin_caribbean,catholic,temperate_fruit,11,
48,Port Pirie,,settlement,minor_aboriginal,mythic,temperate_fruit,0,
49,Rampurhat,BNG,settlement,bengali,sunni,grain,90,
50,Wau,,settlement,papuan,mythic,gold,1,
51,Daba Mountains,,settlement,shangjiang,daoism,grain,0,
52,Tahtoyamsk,RUS,settlement,amur,siberian_shamanism,fur,0,owned but 0 pops (frontier/empty — normal)
53,Masudo,IWM,settlement,japanese,mahayana,grain,40,
54,the Outback,,settlement,minor_aboriginal,mythic,livestock,0,
55,Congolese Jungle,,settlement,mongo,bantu,tobacco,0,
56,Vorogovo,RUS,settlement,dolgan,sunni,wood,0,owned but 0 pops (frontier/empty — normal)
57,Maiduguri,KBO,settlement,hausa,hausa,vegetables,29,
58,Buchivacoa,CPV,settlement,colombian,catholic,sugar,3,
59,Salt Lake City,,settlement,ute,waashat,salt,0,
60,Port Lincoln,,settlement,minor_aboriginal,mythic,textile_fibres,0,
61,Latehar,RMH,settlement,bihari,hindu,vegetables,60,
62,Dabou,BAU,settlement,kru,akan,coffee,22,
63,Chimbote,,settlement,peruvian,catholic,sweet_potato,2,
64,Lar,,settlement,persian,shiite,stone,7,
65,Sokol,RUS,settlement,russian,orthodox,wood,3,
66,La Guajira,SFB,settlement,wayuu,catholic,sugar,5,
67,Niamey,DND,settlement,mossi,sunni,grain,38,
68,Dessau,ANH,settlement,north_german,catholic,vegetables,21,
69,North Ayrshire,GBR,settlement,scottish,reformed,wood,13,
70,Heligoland,GBR,settlement,frisian,lutheran,fish,1,
71,Czap,HUN,settlement,ukrainian,catholic,temperate_fruit,12,
72,Maryna Horka,LIT,settlement,belarusian,orthodox,grain,5,
73,Sidama,SDM,settlement,oromo,kenyan,coffee,34,
74,Prag,AUS,city,czech,catholic,livestock,54,
75,Minsk,LIT,city,belarusian,orthodox,grain,18,
76,Dalhart,CMC,settlement,comanche,waashat,livestock,0,owned but 0 pops (frontier/empty — normal)
77,Niuksenitsa,RUS,settlement,russian,orthodox,wood,2,
78,Krasnoarmisk,RUS,settlement,ukrainian,orthodox,iron,7,
79,Halle,PRU,city,north_german,catholic,copper,39,
80,Ronda,SPA,settlement,castilian,catholic,temperate_fruit,13,
81,Dimitrovskyi,RUS,settlement,bashkir,orthodox,wood,3,
82,Kintyre,GBR,settlement,scottish,reformed,fish,3,
83,Die,FRA,settlement,occitan,catholic,temperate_fruit,37,
84,Jumilla,SPA,settlement,castilian,catholic,temperate_fruit,15,
85,Thann,FRA,settlement,south_german,catholic,grain,19,
86,Biklyansk,RUS,settlement,russian,orthodox,wood,2,
87,Luditz,AUS,settlement,south_german,lutheran,grain,20,
88,Abu Nujaym,,settlement,tamazight,sunni,livestock,2,
89,Huntington,USA,settlement,cherokee,waashat,rifles,1,"'rifles' = intended Victorian-TC/Self-Strengthening good (design, not anachronism)"
90,Djizaks,BUK,settlement,uzbek,sunni,textile_fibres,31,
91,Slavyanka,MNC,settlement,amur,siberian_shamanism,wood,1,
92,Stowbsky,LIT,settlement,belarusian,orthodox,industrial_fibres,7,
93,Mawlamyaing,BUR,settlement,khmer,theravada,temperate_fruit,7,
94,Ecija,SPA,settlement,castilian,catholic,grain,16,
95,Chirovo,RUS,settlement,russian,orthodox,livestock,3,
96,Holin Gol,CHI,settlement,manchu,siberian_shamanism,livestock,5,
97,Pyapon,BUR,settlement,burmese,theravada,fish,15,
